PanGemGeneID,QueryGeneID
CPAR2_704350,XP_036668580
CPAR2_704360,XP_036668581
CPAR2_704370,XP_036668582
CPAR2_400010,XP_036667362
CPAR2_400020,XP_036667363
CPAR2_400030,XP_036667364
CPAR2_400040,XP_036667365
CPAR2_400050,XP_036667366
CPAR2_400060,XP_036667367
CPAR2_400070,XP_036667368
CPAR2_400080,XP_036667369
CPAR2_400090,XP_036667370
CPAR2_400095,XP_036667371
CPAR2_400100,XP_036667372
CPAR2_400110,XP_036667373
CPAR2_400120,XP_036667374
CPAR2_400130,XP_036667375
CPAR2_400140,XP_036667376
CPAR2_400150,XP_036667377
CPAR2_400160,XP_036667378
CPAR2_400170,XP_036667379
CPAR2_400180,XP_036667380
CPAR2_400190,XP_036667381
CPAR2_400200,XP_036667382
CPAR2_400210,XP_036667383
CPAR2_400220,XP_036667384
CPAR2_400230,XP_036667385
CPAR2_400240,XP_036667386
CPAR2_400250,XP_036667387
CPAR2_400260,XP_036667388
CPAR2_400270,XP_036667389
CPAR2_400280,XP_036667390
CPAR2_400290,XP_036667391
CPAR2_400300,XP_036667392
CPAR2_400310,XP_036667393
CPAR2_400320,XP_036667394
CPAR2_400330,XP_036667395
CPAR2_400340,XP_036667396
CPAR2_400350,XP_036667397
CPAR2_400360,XP_036667398
CPAR2_400380,XP_036667399
CPAR2_400390,XP_036667400
CPAR2_400400,XP_036667401
CPAR2_400410,XP_036667402
CPAR2_400420,XP_036667403
CPAR2_400430,XP_036667404
CPAR2_400440,XP_036667405
CPAR2_400450,XP_036667406
CPAR2_400460,XP_036667407
CPAR2_400470,XP_036667408
CPAR2_400480,XP_036667409
CPAR2_400490,XP_036667410
CPAR2_400500,XP_036667411
CPAR2_400510,XP_036667412
CPAR2_400520,XP_036667413
CPAR2_400530,XP_036667414
CPAR2_400540,XP_036667415
CPAR2_400550,XP_036667416
CPAR2_400560,XP_036667417
CPAR2_400570,XP_036667418
CPAR2_400580,XP_036667419
CPAR2_400590,XP_036667420
CPAR2_400600,XP_036667421
CPAR2_400610,XP_036667422
CPAR2_400620,XP_036667423
CPAR2_400630,XP_036667424
CPAR2_400640,XP_036667425
CPAR2_400650,XP_036667426
CPAR2_400660,XP_036667427
CPAR2_400670,XP_036667428
CPAR2_400680,XP_036667429
CPAR2_400690,XP_036667430
CPAR2_400700,XP_036667431
CPAR2_400710,XP_036667432
CPAR2_400720,XP_036667433
CPAR2_400730,XP_036667434
CPAR2_400740,XP_036667435
CPAR2_400750,XP_036667436
CPAR2_400760,XP_036667437
CPAR2_400770,XP_036667438
CPAR2_400790,XP_036667439
CPAR2_400800,XP_036667440
CPAR2_400810,XP_036667441
CPAR2_400820,XP_036667442
CPAR2_400830,XP_036667443
CPAR2_400840,XP_036667444
CPAR2_400850,XP_036667445
CPAR2_400860,XP_036667446
CPAR2_400870,XP_036667447
CPAR2_400880,XP_036667448
CPAR2_400890,XP_036667449
CPAR2_400900,XP_036667450
CPAR2_400910,XP_036667451
CPAR2_400920,XP_036667452
CPAR2_400930,XP_036667453
CPAR2_400940,XP_036667454
CPAR2_400950,XP_036667455
CPAR2_400960,XP_036667456
CPAR2_400970,XP_036667457
CPAR2_400980,XP_036667458
CPAR2_400990,XP_036667459
CPAR2_401000,XP_036667460
CPAR2_401010,XP_036667461
CPAR2_401020,XP_036667462
CPAR2_401030,XP_036667463
CPAR2_401040,XP_036667464
CPAR2_401050,XP_036667465
CPAR2_401060,XP_036667466
CPAR2_401070,XP_036667467
CPAR2_401080,XP_036667468
CPAR2_401090,XP_036667469
CPAR2_401100,XP_036667470
CPAR2_401110,XP_036667471
CPAR2_401120,XP_036667472
CPAR2_401130,XP_036667473
CPAR2_401140,XP_036667474
CPAR2_401150,XP_036667475
CPAR2_401160,XP_036667476
CPAR2_401170,XP_036667477
CPAR2_401180,XP_036667478
CPAR2_401190,XP_036667479
CPAR2_401200,XP_036667480
CPAR2_401210,XP_036667481
CPAR2_401220,XP_036667482
CPAR2_401230,XP_036667483
CPAR2_401240,XP_036667484
CPAR2_401250,XP_036667485
CPAR2_401260,XP_036667486
CPAR2_401270,XP_036667487
CPAR2_401280,XP_036667488
CPAR2_401290,XP_036667489
CPAR2_401300,XP_036667490
CPAR2_401310,XP_036667491
CPAR2_401320,XP_036667492
CPAR2_401330,XP_036667493
CPAR2_401340,XP_036667494
CPAR2_401350,XP_036667495
CPAR2_401360,XP_036667496
CPAR2_401370,XP_036667497
CPAR2_401380,XP_036667498
CPAR2_401390,XP_036667499
CPAR2_401400,XP_036667500
CPAR2_401410,XP_036667501
CPAR2_401420,XP_036667502
CPAR2_401430,XP_036667503
CPAR2_401440,XP_036667504
CPAR2_401450,XP_036667505
CPAR2_401460,XP_036667506
CPAR2_401470,XP_036667507
CPAR2_401480,XP_036667508
CPAR2_401490,XP_036667509
CPAR2_401500,XP_036667510
CPAR2_401510,XP_036667511
CPAR2_401520,XP_036667512
CPAR2_401530,XP_036667513
CPAR2_401540,XP_036667514
CPAR2_401550,XP_036667515
CPAR2_401560,XP_036667516
CPAR2_401570,XP_036667517
CPAR2_401580,XP_036667518
CPAR2_401590,XP_036667519
CPAR2_401600,XP_036667520
CPAR2_401610,XP_036667521
CPAR2_401620,XP_036667522
CPAR2_401630,XP_036667523
CPAR2_401640,XP_036667524
CPAR2_401650,XP_036667525
CPAR2_401660,XP_036667526
CPAR2_401670,XP_036667527
CPAR2_401680,XP_036667528
CPAR2_401690,XP_036667529
CPAR2_401700,XP_036667530
CPAR2_401710,XP_036667531
CPAR2_401720,XP_036667532
CPAR2_401730,XP_036667533
CPAR2_401740,XP_036667534
CPAR2_401750,XP_036667535
CPAR2_401760,XP_036667536
CPAR2_401770,XP_036667537
CPAR2_401780,XP_036667538
CPAR2_401790,XP_036667539
CPAR2_401800,XP_036667540
CPAR2_401810,XP_036667541
CPAR2_401820,XP_036667542
CPAR2_401830,XP_036667543
CPAR2_401840,XP_036667544
CPAR2_401850,XP_036667545
CPAR2_401860,XP_036667546
CPAR2_401870,XP_036667547
CPAR2_401880,XP_036667548
CPAR2_401885,XP_036667549
CPAR2_401890,XP_036667550
CPAR2_401900,XP_036667551
CPAR2_401910,XP_036667552
CPAR2_401920,XP_036667553
CPAR2_401930,XP_036667554
CPAR2_401940,XP_036667555
CPAR2_401950,XP_036667556
CPAR2_401960,XP_036667557
CPAR2_401970,XP_036667558
CPAR2_401980,XP_036667559
CPAR2_401990,XP_036667560
CPAR2_402000,XP_036667561
CPAR2_402010,XP_036667562
CPAR2_402020,XP_036667563
CPAR2_402030,XP_036667564
CPAR2_402040,XP_036667565
CPAR2_402050,XP_036667566
CPAR2_402060,XP_036667567
CPAR2_402070,XP_036667568
CPAR2_402080,XP_036667569
CPAR2_402090,XP_036667570
CPAR2_402100,XP_036667571
CPAR2_402110,XP_036667572
CPAR2_402120,XP_036667573
CPAR2_402130,XP_036667574
CPAR2_402140,XP_036667575
CPAR2_402150,XP_036667576
CPAR2_402160,XP_036667577
CPAR2_402170,XP_036667578
CPAR2_402180,XP_036667579
CPAR2_402190,XP_036667580
CPAR2_402200,XP_036667581
CPAR2_402210,XP_036667582
CPAR2_402220,XP_036667583
CPAR2_402230,XP_036667584
CPAR2_402240,XP_036667585
CPAR2_402250,XP_036667586
CPAR2_402260,XP_036667587
CPAR2_402270,XP_036667588
CPAR2_402280,XP_036667589
CPAR2_402290,XP_036667590
CPAR2_402300,XP_036667591
CPAR2_402310,XP_036667592
CPAR2_402320,XP_036667593
CPAR2_402330,XP_036667594
CPAR2_402340,XP_036667595
CPAR2_402350,XP_036667596
CPAR2_402360,XP_036667597
CPAR2_402370,XP_036667598
CPAR2_402380,XP_036667599
CPAR2_402390,XP_036667600
CPAR2_402400,XP_036667601
CPAR2_402410,XP_036667602
CPAR2_402420,XP_036667603
CPAR2_402430,XP_036667604
CPAR2_402440,XP_036667605
CPAR2_402450,XP_036667606
CPAR2_402460,XP_036667607
CPAR2_402470,XP_036667608
CPAR2_402480,XP_036667609
CPAR2_402490,XP_036667610
CPAR2_402500,XP_036667611
CPAR2_402510,XP_036667612
CPAR2_402520,XP_036667613
CPAR2_402530,XP_036667614
CPAR2_402540,XP_036667615
CPAR2_402550,XP_036667616
CPAR2_402560,XP_036667617
CPAR2_402570,XP_036667618
CPAR2_402580,XP_036667619
CPAR2_402590,XP_036667620
CPAR2_402600,XP_036667621
CPAR2_402610,XP_036667622
CPAR2_402620,XP_036667623
CPAR2_402630,XP_036667624
CPAR2_402640,XP_036667625
CPAR2_402650,XP_036667626
CPAR2_402660,XP_036667627
CPAR2_402670,XP_036667628
CPAR2_402690,XP_036667629
CPAR2_402700,XP_036667630
CPAR2_402710,XP_036667631
CPAR2_402720,XP_036667632
CPAR2_402730,XP_036667633
CPAR2_402740,XP_036667634
CPAR2_402750,XP_036667635
CPAR2_402760,XP_036667636
CPAR2_402770,XP_036667637
CPAR2_402780,XP_036667638
CPAR2_402790,XP_036667639
CPAR2_402800,XP_036667640
CPAR2_402810,XP_036667641
CPAR2_402820,XP_036667642
CPAR2_402830,XP_036667643
CPAR2_402840,XP_036667644
CPAR2_402850,XP_036667645
CPAR2_402860,XP_036667646
CPAR2_402870,XP_036667647
CPAR2_402880,XP_036667648
CPAR2_402890,XP_036667649
CPAR2_402900,XP_036667650
CPAR2_402910,XP_036667651
CPAR2_402920,XP_036667652
CPAR2_402930,XP_036667653
CPAR2_402940,XP_036667654
CPAR2_402950,XP_036667655
CPAR2_402960,XP_036667656
CPAR2_402970,XP_036667657
CPAR2_402980,XP_036667658
CPAR2_402990,XP_036667659
CPAR2_403000,XP_036667660
CPAR2_403010,XP_036667661
CPAR2_403020,XP_036667662
CPAR2_403030,XP_036667663
CPAR2_403040,XP_036667664
CPAR2_403050,XP_036667665
CPAR2_403060,XP_036667666
CPAR2_403070,XP_036667667
CPAR2_403080,XP_036667668
CPAR2_403090,XP_036667669
CPAR2_403100,XP_036667670
CPAR2_403110,XP_036667671
CPAR2_403120,XP_036667672
CPAR2_403130,XP_036667673
CPAR2_403140,XP_036667674
CPAR2_403150,XP_036667675
CPAR2_403160,XP_036667676
CPAR2_403170,XP_036667677
CPAR2_403180,XP_036667678
CPAR2_403190,XP_036667679
CPAR2_403200,XP_036667680
CPAR2_403210,XP_036667681
CPAR2_403220,XP_036667682
CPAR2_403240,XP_036667683
CPAR2_403250,XP_036667684
CPAR2_403260,XP_036667685
CPAR2_403270,XP_036667686
CPAR2_403280,XP_036667687
CPAR2_403290,XP_036667688
CPAR2_403300,XP_036667689
CPAR2_403310,XP_036667690
CPAR2_403320,XP_036667691
CPAR2_403330,XP_036667692
CPAR2_403340,XP_036667693
CPAR2_403350,XP_036667694
CPAR2_403360,XP_036667695
CPAR2_403370,XP_036667696
CPAR2_403380,XP_036667697
CPAR2_403390,XP_036667698
CPAR2_403400,XP_036667699
CPAR2_403410,XP_036667700
CPAR2_403420,XP_036667701
CPAR2_403430,XP_036667702
CPAR2_403440,XP_036667703
CPAR2_403450,XP_036667704
CPAR2_403460,XP_036667705
CPAR2_403470,XP_036667706
CPAR2_403480,XP_036667707
CPAR2_403490,XP_036667708
CPAR2_403500,XP_036667709
CPAR2_403510,XP_036667710
CPAR2_403520,XP_036667711
CPAR2_403530,XP_036667712
CPAR2_403540,XP_036667713
CPAR2_403550,XP_036667714
CPAR2_403560,XP_036667715
CPAR2_403570,XP_036667716
CPAR2_403580,XP_036667717
CPAR2_403590,XP_036667718
CPAR2_403600,XP_036667719
CPAR2_403610,XP_036667720
CPAR2_403620,XP_036667721
CPAR2_403630,XP_036667722
CPAR2_403640,XP_036667723
CPAR2_403650,XP_036667724
CPAR2_403660,XP_036667725
CPAR2_403670,XP_036667726
CPAR2_403680,XP_036667727
CPAR2_403690,XP_036667728
CPAR2_403700,XP_036667729
CPAR2_403710,XP_036667730
CPAR2_403720,XP_036667731
CPAR2_403730,XP_036667732
CPAR2_403740,XP_036667733
CPAR2_403750,XP_036667734
CPAR2_403760,XP_036667735
CPAR2_403770,XP_036667736
CPAR2_403780,XP_036667737
CPAR2_403790,XP_036667738
CPAR2_403800,XP_036667739
CPAR2_403810,XP_036667740
CPAR2_403820,XP_036667741
CPAR2_403830,XP_036667742
CPAR2_403840,XP_036667743
CPAR2_403850,XP_036667744
CPAR2_403860,XP_036667745
CPAR2_403870,XP_036667746
CPAR2_403880,XP_036667747
CPAR2_403890,XP_036667748
CPAR2_403900,XP_036667749
CPAR2_403910,XP_036667750
CPAR2_403920,XP_036667751
CPAR2_403930,XP_036667752
CPAR2_403940,XP_036667753
CPAR2_403950,XP_036667754
CPAR2_403960,XP_036667755
CPAR2_403970,XP_036667756
CPAR2_403980,XP_036667757
CPAR2_403990,XP_036667758
CPAR2_404000,XP_036667759
CPAR2_404010,XP_036667760
CPAR2_404020,XP_036667761
CPAR2_404030,XP_036667762
CPAR2_404040,XP_036667763
CPAR2_404050,XP_036667764
CPAR2_404060,XP_036667765
CPAR2_404070,XP_036667766
CPAR2_404080,XP_036667767
CPAR2_404090,XP_036667768
CPAR2_404100,XP_036667769
CPAR2_404110,XP_036667770
CPAR2_404120,XP_036667771
CPAR2_404130,XP_036667772
CPAR2_404140,XP_036667773
CPAR2_404160,XP_036667774
CPAR2_404170,XP_036667775
CPAR2_404180,XP_036667776
CPAR2_404190,XP_036667777
CPAR2_404200,XP_036667778
CPAR2_404210,XP_036667779
CPAR2_404220,XP_036667780
CPAR2_404230,XP_036667781
CPAR2_404240,XP_036667782
CPAR2_404250,XP_036667783
CPAR2_404260,XP_036667784
CPAR2_404270,XP_036667785
CPAR2_404280,XP_036667786
CPAR2_404290,XP_036667787
CPAR2_404300,XP_036667788
CPAR2_404310,XP_036667789
CPAR2_404320,XP_036667790
CPAR2_404330,XP_036667791
CPAR2_404340,XP_036667792
CPAR2_404350,XP_036667793
CPAR2_404360,XP_036667794
CPAR2_404370,XP_036667795
CPAR2_404380,XP_036667796
CPAR2_404390,XP_036667797
CPAR2_404400,XP_036667798
CPAR2_404410,XP_036667799
CPAR2_404420,XP_036667800
CPAR2_404430,XP_036667801
CPAR2_404440,XP_036667802
CPAR2_404450,XP_036667803
CPAR2_404460,XP_036667804
CPAR2_404470,XP_036667805
CPAR2_404480,XP_036667806
CPAR2_404490,XP_036667807
